file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\TestInstances.java,org.junit.jupiter.api.extension.TestInstances,getAllInstances/0,false,51,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertNull.java,org.junit.jupiter.api.AssertNull,AssertNull/0,true,25,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertNull.java,org.junit.jupiter.api.AssertNull,"assertNull/2[java.lang.Object,java.lang.String]",false,33,1,3,2,1,2,1,5,0,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,8,8,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertNull.java,org.junit.jupiter.api.AssertNull,"failNotNull/2[java.lang.Object,java.lang.Object]",false,45,1,7,2,5,1,5,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertNull.java,org.junit.jupiter.api.AssertNull,assertNull/1[java.lang.Object],false,29,1,2,1,1,1,1,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertNull.java,org.junit.jupiter.api.AssertNull,"assertNull/2[java.lang.Object,java.util.function.Supplier<java.lang.String>]",false,39,1,2,1,1,2,1,5,0,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,9,8,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Store,"remove/2[java.lang.Object,java.lang.Class<V>]",false,623,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Store,"getOrComputeIfAbsent/3[K,java.util.function.Function<K,V>,java.lang.Class<V>]",false,560,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Store,get/1[java.lang.Object],false,435,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Store,"get/2[java.lang.Object,java.lang.Class<V>]",false,453,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Store,"getOrComputeIfAbsent/2[K,java.util.function.Function<K,V>]",false,531,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Store,getOrComputeIfAbsent/1[java.lang.Class<V>],false,527,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,65536,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Store,"put/2[java.lang.Object,java.lang.Object]",false,588,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Store,"getOrDefault/3[java.lang.Object,java.lang.Class<V>,V]",false,491,3,1,0,1,2,1,4,1,1,3,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,46,65536,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Store,remove/1[java.lang.Object],false,606,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,true
