file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\sql\ast\tree\from\AbstractTableReference.java,org.hibernate.sql.ast.tree.from.AbstractTableReference,class,1,7,6,1,9,1,2,4,0,0.4,0.7,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,0,2,0,2,0,2,28,6,0,4,0,0,0,0,3,0,3,1,0,0,0,20,1025,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\boot\query\HbmResultSetMappingDescriptor.java,org.hibernate.boot.query.HbmResultSetMappingDescriptor$HbmFetchParent,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\boot\internal\DefaultSessionFactoryBuilderInitiator.java,org.hibernate.boot.internal.DefaultSessionFactoryBuilderInitiator,class,5,6,1,5,3,1,0,0,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,11,2,0,0,0,0,0,0,1,0,1,0,0,0,0,19,17,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\query\sqm\tree\select\SqmSelection.java,org.hibernate.query.sqm.tree.select.SqmSelection,class,11,15,4,11,10,2,0,7,0,0.2857143,0.6666667,0.71428573,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,2,0,0,35,4,0,3,0,0,1,0,4,0,2,1,0,0,0,34,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\sql\results\graph\collection\internal\AbstractCollectionAssembler.java,org.hibernate.sql.results.graph.collection.internal.AbstractCollectionAssembler,class,8,11,3,8,4,1,3,4,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,1,1,0,2,0,0,18,3,0,0,0,0,0,0,3,0,3,1,0,0,0,33,1025,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\dialect\CockroachDialect.java,org.hibernate.dialect.CockroachDialect$Anonymous1,anonymous,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\FlushMode.java,org.hibernate.FlushMode,enum,3,13,10,3,11,1,0,4,15,0.0,0.0,0.0,6,3,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,9,0,0,0,0,1,4,0,0,0,1,0,0,0,96,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\query\sqm\tree\SqmTypedNode.java,org.hibernate.query.sqm.tree.SqmTypedNode,interface,8,24,16,8,5,1,0,2,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,0,0,0,1,0,1,0,0,0,0,24,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\loader\ast\internal\CollectionBatchLoaderArrayParam.java,org.hibernate.loader.ast.internal.CollectionBatchLoaderArrayParam,class,21,22,1,21,7,2,0,32,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,4,0,0,4,0,0,4,0,3,35,0,1,2,0,0,2,2,11,0,11,1,0,0,0,92,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\boot\spi\XmlMappingBinderAccess.java,org.hibernate.boot.spi.XmlMappingBinderAccess,class,13,14,1,13,11,1,0,15,0,0.5,0.64285713,1.0,8,0,8,0,0,0,8,0,0,0,3,1,0,3,0,0,3,0,0,60,6,0,1,2,0,6,0,13,0,11,2,0,0,0,70,1,1
